id,Company
1,Twimbo
2,Avamba
3,Ozu
4,Oozz
5,Buzzster
6,Quire
7,Blogspan
8,Eimbee
9,Meezzy
10,Voonder
11,Jetwire
12,Skalith
13,Centimia
14,Eidel
15,Agimba
16,Rooxo
17,Dynabox
18,Jayo
19,Twitterbridge
20,Omba
21,Topicstorm
22,Minyx
23,Vipe
24,Quinu
25,Thoughtmix
26,Yakitri
27,Zoovu
28,Thoughtworks
29,Quatz
30,Youopia
31,Einti
32,Skaboo
33,Riffpath
34,Babbleset
35,Feedfire
36,Dabshots
37,Vinte
38,Wikido
39,Quimba
40,Zava
41,Oba
42,Zooxo
43,Jabberbean
44,Flashpoint
45,Skinix
46,Zoomzone
47,Teklist
48,Thoughtsphere
49,Dynabox
50,Fatz
